ID;Internal ID;;;;RbcL_ID;RbcL_based_taxa;Type
NC_086863_1444;N2524;;;;ptMAG_rbcL_224;Mamiellophyceae;This study
OQ848501_1453;N2470;;;;ptMAG_rbcL_223;Chlorophyceae;This study
MZ334628_1223;N2193;;;;ptMAG_rbcL_222;Trebouxiophyceae;This study
OQ848499_1450;N2097;;;;ptMAG_rbcL_221;Cryptophyceae;This study
MZ334627_1452;N1174;;;;ptMAG_rbcL_220;Dictyochophyceae;This study
KY495853.1_643;N1024;;;;ptMAG_rbcL_22;Diatoms;This study
MH545327.1_560;N2594;;;;ptMAG_rbcL_219;Chrysophyceae;This study
AY177748.1_735;N2658;;;;ptMAG_rbcL_218;Chlorophyceae;This study
ON971347.1_404;N2603;;;;ptMAG_rbcL_217;Trebouxiophyceae;This study
FJ715717.1_755;N1011;;;;ptMAG_rbcL_216;Chrysophyceae;This study
AY177746.1_736;N921;;;;ptMAG_rbcL_215;Chlorophyceae;This study
MH545335.1_559;N920;;;;ptMAG_rbcL_214;Chlorophyceae;This study
AY177739.1_738;N1081;;;;ptMAG_rbcL_213;Chrysophyceae;This study
AY177737.1_740;N1064;;;;ptMAG_rbcL_212;Chrysophyceae;This study
AY177741.1_737;N1092;;;;ptMAG_rbcL_211;Dictyochophyceae;This study
AY177738.1_739;N1099;;;;ptMAG_rbcL_210;Mamiellophyceae;This study
NC_012101_1331;N2582;;;;ptMAG_rbcL_21;Dictyochophyceae;This study
UnusedGroupDREPX1144_Bin_LAND_16_3_1-contigsc0006_-_rbcL_gene_63;N2556;;;;ptMAG_rbcL_209;Chlorophyceae;This study
ptMAG_rbcL_151_214;N2515;;;;ptMAG_rbcL_208;Chlorophyceae;This study
UnusedGroupDREPX1083_Bin_NVAL_39_45-contigsc0612_-_rbcL_gene_62;N2538;;;;ptMAG_rbcL_207;Cryptophyceae;This study
ptMAG_rbcL_136_199;N2525;;;;ptMAG_rbcL_206;Mamiellophyceae;This study
ptMAG_rbcL_161_224;N2471;;;;ptMAG_rbcL_205;Cryptophyceae;This study
ptMAG_rbcL_172_235;N2417;;;;ptMAG_rbcL_204;Euglenophyceae;This study
ptMAG_rbcL_206_269;N2194;;;;ptMAG_rbcL_203;Euglenophyceae;This study
ptMAG_rbcL_128_191;N2173;;;;ptMAG_rbcL_202;Euglenophyceae;This study
ptMAG_rbcL_224_287;N2098;;;;ptMAG_rbcL_201;Trebouxiophyceae;This study
ptMAG_rbcL_2_65;N2072;;;;ptMAG_rbcL_200;Trebouxiophyceae;This study
ptMAG_rbcL_210_273;N1175;;;;ptMAG_rbcL_20;Diatoms;This study
ptMAG_rbcL_198_261;N2595;;;;ptMAG_rbcL_2;Mamiellophyceae;This study
GroupDREPX195_Bin_CEPX_5_1_13-contigsc0034_-_rbcL_gene_5;N2659;;;;ptMAG_rbcL_199;Streptophyta;This study
GroupDREPX195_Bin_CEPX_12_1_2-contigsc0148_-_rbcL_gene_6;N2664;;;;ptMAG_rbcL_198;Mamiellophyceae;This study
GroupDREPX195_Bin_CEPX_5_1_13-contigsc0034_-_rbcL_gene_4;N2604;;;;ptMAG_rbcL_197;Chlorophyceae;This study
NC_067041_1401;N2611;;;;ptMAG_rbcL_196;Chlorophyceae;This study
ON645926_1421;N1012;;;;ptMAG_rbcL_195;Chlorophyceae;This study
ptMAG_rbcL_133_196;N922;;;;ptMAG_rbcL_194;Trebouxiophyceae;This study
LC604816_1291;N927;;;;ptMAG_rbcL_193;Streptophyta;This study
ptMAG_rbcL_175_238;N2671;;;;ptMAG_rbcL_192;Chlorophyceae;This study
ptMAG_rbcL_180_243;N919;;;;ptMAG_rbcL_191;Chlorophyceae;This study
NC_025539_1347;N1082;;;;ptMAG_rbcL_190;Trebouxiophyceae;This study
AF137379_1228;N1072;;;;ptMAG_rbcL_19;Dictyochophyceae;This study
NC_059722_1443;N1065;;;;ptMAG_rbcL_189;Chlorophyceae;This study
NC_024829_1340;N1093;;;;ptMAG_rbcL_188;Chlorophyceae;This study
MN056173_1317;N1100;;;;ptMAG_rbcL_187;Streptophyta;This study
AF509627.1_743;N1109;;;;ptMAG_rbcL_186;Trebouxiophyceae;This study
ptMAG_rbcL_163_226;N2539;;;;ptMAG_rbcL_185;Streptophyta;This study
U30277.1_957;N2535;;;;ptMAG_rbcL_184;Pyramimonadophyceae;This study
KF285530_1246;N2526;;;;ptMAG_rbcL_183;Chlorophyceae;This study
U30278.1_956;N2481;;;;ptMAG_rbcL_182;Ulvophyceae;This study
NC_012575_1332;N2472;;;;ptMAG_rbcL_181;Streptophyta;This study
ptMAG_rbcL_171_234;N2418;;;;ptMAG_rbcL_180;Trebouxiophyceae;This study
ptMAG_rbcL_160_223;N2195;;;;ptMAG_rbcL_18;Diatoms;This study
AF509626.1_744;N2204;;;;ptMAG_rbcL_179;Chlorophyceae;This study
KJ746597_1250;N2174;;;;ptMAG_rbcL_178;Chlorophyceae;This study
KJ746602_1252;N2183;;;;ptMAG_rbcL_177;Trebouxiophyceae;This study
KJ746598_1251;N2099;;;;ptMAG_rbcL_176;Trebouxiophyceae;This study
U30281.1_955;N2108;;;;ptMAG_rbcL_175;Trebouxiophyceae;This study
NC_012097_1330;N2074;;;;ptMAG_rbcL_174;Trebouxiophyceae;This study
U30279.1_954;N1971;;;;ptMAG_rbcL_173;Trebouxiophyceae;This study
NC_042489_1396;N1176;;;;ptMAG_rbcL_172;Mamiellophyceae;This study
MK085993_1313;N2596;;;;ptMAG_rbcL_171;Mamiellophyceae;This study
MK085990_1312;N2660;;;;ptMAG_rbcL_170;Trebouxiophyceae;This study
NC_030169_1368;N2665;;;;ptMAG_rbcL_17;Bolidophyceae;This study
FJ493499_1238;N2606;;;;ptMAG_rbcL_169;Chlorophyceae;This study
ptMAG_rbcL_184_247;N2612;;;;ptMAG_rbcL_168;Trebouxiophyceae;This study
OK136184_1413;N1013;;;;ptMAG_rbcL_167;Chlorophyceae;This study
NC_017754_1335;N924;;;;ptMAG_rbcL_166;Trebouxiophyceae;This study
OK136185_1414;N928;;;;ptMAG_rbcL_165;Chlorophyceae;This study
OK136183_1445;N935;;;;ptMAG_rbcL_164;Trebouxiophyceae;This study
NC_039970_1390;N2672;;;;ptMAG_rbcL_163;Mamiellophyceae;This study
NC_039971_1391;N2703;;;;ptMAG_rbcL_162;Chlorophyceae;This study
NC_039928_1387;N490;;;;ptMAG_rbcL_161;Mamiellophyceae;This study
NC_039969_1389;N489;;;;ptMAG_rbcL_160;Mamiellophyceae;This study
NC_071864_1225;N1074;;;;ptMAG_rbcL_16;Diatoms;This study
NC_039967_1388;N1066;;;;ptMAG_rbcL_159;Streptophyta;This study
NC_039927_1386;N1094;;;;ptMAG_rbcL_158;Chlorophyceae;This study
KC684276_1245;N1106;;;;ptMAG_rbcL_157;Trebouxiophyceae;This study
KP453743_1268;N1101;;;;ptMAG_rbcL_156;Trebouxiophyceae;This study
JX457480_1243;N1110;;;;ptMAG_rbcL_155;Chlorophyceae;This study
NC_027287_1356;N1119;;;;ptMAG_rbcL_154;Trebouxiophyceae;This study
NC_027286_1355;N2540;;;;ptMAG_rbcL_153;Chlorophyceae;This study
NC_035156_1374;N2532;;;;ptMAG_rbcL_152;Chlorophyceae;This study
OP179281_1427;N2527;;;;ptMAG_rbcL_151;Mamiellophyceae;This study
ptMAG_rbcL_204_267;N2473;;;;ptMAG_rbcL_150;Trebouxiophyceae;This study
OP179277_1425;N2419;;;;ptMAG_rbcL_15;Diatoms;This study
ptMAG_rbcL_202_265;N2434;;;;ptMAG_rbcL_149;Chlorophyceae;This study
ptMAG_rbcL_203_266;N2201;;;;ptMAG_rbcL_148;Chlorophyceae;This study
KP686075_1269;N2196;;;;ptMAG_rbcL_147;Chlorophyceae;This study
JQ237893_1242;N2412;;;;ptMAG_rbcL_146;Chlorophyceae;This study
NC_027288_1357;N2205;;;;ptMAG_rbcL_145;Trebouxiophyceae;This study
KT223519_1273;N2175;;;;ptMAG_rbcL_144;Chlorophyceae;This study
NC_071861_1404;N2189;;;;ptMAG_rbcL_143;Trebouxiophyceae;This study
MH898669_1308;N2184;;;;ptMAG_rbcL_142;Chlorophyceae;This study
OP179283_1446;N2100;;;;ptMAG_rbcL_141;Trebouxiophyceae;This study
NC_038187_1376;N2103;;;;ptMAG_rbcL_140;Trebouxiophyceae;This study
NC_071862_1405;N2110;;;;ptMAG_rbcL_14;Diatoms;This study
X70810_1436;N2076;;;;ptMAG_rbcL_139;Streptophyta;This study
MF622086_1301;N2061;;;;ptMAG_rbcL_138;Streptophyta;This study
OP179278_1426;N1972;;;;ptMAG_rbcL_137;Chlorophyceae;This study
ptMAG_rbcL_150_213;N1177;;;;ptMAG_rbcL_136;Mamiellophyceae;This study
KY710883.1_494;N1304;;;;ptMAG_rbcL_135;Trebouxiophyceae;This study
KY710894.1_492;N2667;;;;ptMAG_rbcL_134;Chlorophyceae;This study
KY283842.1_635;N2607;;;;ptMAG_rbcL_133;Trebouxiophyceae;This study
NC_025541_1349;N2613;;;;ptMAG_rbcL_132;Streptophyta;This study
KY283840.1_636;N2626;;;;ptMAG_rbcL_131;Chlorophyceae;This study
MF100789.1_568;N929;;;;ptMAG_rbcL_130;Ulvophyceae;This study
KY283834.1_640;N932;;;;ptMAG_rbcL_13;Dictyochophyceae;This study
KY710901.1_488;N973;;;;ptMAG_rbcL_129;Dictyochophyceae;This study
MN334214.1_447;N936;;;;ptMAG_rbcL_128;Mamiellophyceae;This study
MN334215.1_446;N2696;;;;ptMAG_rbcL_127;Chlorophyceae;This study
MF100792.1_565;N2673;;;;ptMAG_rbcL_126;Cryptophyceae;This study
KY710867.1_501;N2821;;;;ptMAG_rbcL_125;Streptophyta;This study
KY710875.1_496;N2704;;;;ptMAG_rbcL_124;Streptophyta;This study
KY710864.1_503;N914;;;;ptMAG_rbcL_123;Streptophyta;This study
KY710869.1_499;N491;;;;ptMAG_rbcL_122;Streptophyta;This study
KY710870.1_498;N422;;;;ptMAG_rbcL_121;Streptophyta;This study
KY283837.1_638;N421;;;;ptMAG_rbcL_120;Chlorophyceae;This study
OQ208933.1_308;N1067;;;;ptMAG_rbcL_12;Diatoms;This study
KY283839.1_637;N1103;;;;ptMAG_rbcL_119;Streptophyta;This study
KY710871.1_497;N1111;;;;ptMAG_rbcL_118;Eustigmatophyceae;This study
KY283844.1_634;N1135;;;;ptMAG_rbcL_117;Eustigmatophyceae;This study
KY710868.1_500;N1120;;;;ptMAG_rbcL_116;Eustigmatophyceae;This study
MF100788.1_569;N2528;;;;ptMAG_rbcL_115;Chrysophyceae;This study
KY710861.1_505;N2475;;;;ptMAG_rbcL_114;Eustigmatophyceae;This study
KY710900.1_489;N2420;;;;ptMAG_rbcL_113;Eustigmatophyceae;This study
MG674844.1_512;N2454;;;;ptMAG_rbcL_112;Eustigmatophyceae;This study
KY710878.1_495;N2435;;;;ptMAG_rbcL_111;Pelagophyceae;This study
MF100790.1_567;N2198;;;;ptMAG_rbcL_110;Chrysophyceae;This study
MG674840.1_514;N2413;;;;ptMAG_rbcL_11;Diatoms;This study
GroupDREPX565_Consensus_-_rbcL_gene_16;N2206;;;;ptMAG_rbcL_109;Cryptophyceae;This study
KY710866.1_502;N2211;;;;ptMAG_rbcL_108;Pelagophyceae;This study
KY710893.1_493;N2176;;;;ptMAG_rbcL_107;Chrysophyceae;This study
MG674841.1_513;N2179;;;;ptMAG_rbcL_106;Chrysophyceae;This study
KY710858.1_506;N2186;;;;ptMAG_rbcL_105;Xanthophyceae;This study
MF100791.1_566;N2105;;;;ptMAG_rbcL_104;Chrysophyceae;This study
KY710863.1_504;N2168;;;;ptMAG_rbcL_103;Chrysophyceae;This study
OQ942923_1078;N2111;;;;ptMAG_rbcL_102;Chrysophyceae;This study
KF693825.1_821;N2088;;;;ptMAG_rbcL_101;Cryptophyceae;This study
GroupDREPX239_Bin_FERT_9_17-contigsc0016_-_rbcL_gene_7;N2077;;;;ptMAG_rbcL_100;Chrysophyceae;This study
OK626429.1_345;N2069;;;;ptMAG_rbcL_10;Diatoms;This study
LC769883.1_311;N2062;;;;ptMAG_rbcL_1;Haptophyta;This study
UnusedGroupDREPX546_Bin_BALM_14_22-contigsc0006_-_rbcL_gene_59;N1973;;;;LC648957;Cryptophyceae;
ptMAG_rbcL_135_198;N2010;;;;AB164409.1;Cryptophyceae;
ptMAG_rbcL_190_253;N1269;;;;AB164408.1;Cryptophyceae;
OK030949.1_408;N1178;;;;ptMAG_rbcL_44;Cryptophyceae;
ptMAG_rbcL_200_263;N1928;;;;ptMAG_rbcL_126;Cryptophyceae;
GroupDREPX251_Bin_VSVK_22_29-contigsc0011_-_rbcL_gene_11;N1305;;;;AF041468;Cryptophyceae;
KM462886_1265;N2614;;;;MK798155;Cryptophyceae;
ptMAG_rbcL_170_233;N2627;;;;LC648962;Cryptophyceae;
GroupDREPX250_Bin_ROSX_18_26-contigsc0170_-_rbcL_gene_10;N2634;;;;LC648964;Cryptophyceae;
GroupDREPX250_Bin_SZYM_18_24-contigsc0004_-_rbcL_gene_9;N1005;;;;LC648955;Cryptophyceae;
GroupDREPX250_Bin_ZLUT_103_5_31-contigsc0251_-_rbcL_gene_8;N974;;;;KY860574;Cryptophyceae;
ptMAG_rbcL_143_206;N958;;;;ptMAG_rbcL_109;Cryptophyceae;
MK257138.1_418;N937;;;;KT428890;Cryptophyceae;
ptMAG_rbcL_154_217;N2697;;;;LC648958;Cryptophyceae;
NC_025549_1352;N2700;;;;ptMAG_rbcL_101;Cryptophyceae;
OK569791_1077;N2674;;;;LC648961;Cryptophyceae;
EF113444.1_1014;N2685;;;;LC648963;Cryptophyceae;
MW077579.1_443;N2822;;;;EF508371;Cryptophyceae;
ptMAG_rbcL_141_204;N2825;;;;AF463411.1;Cryptophyceae;
ptMAG_rbcL_174_237;N2706;;;;AY119782.1;Cryptophyceae;
ptMAG_rbcL_166_229;N916;;;;ptMAG_rbcL_221;Cryptophyceae;
ptMAG_rbcL_156_219;N492;;;;ptMAG_rbcL_55;Cryptophyceae;
ptMAG_rbcL_201_264;N671;;;;LC648953;Cryptophyceae;
AY543047.1_715;N458;;;;ptMAG_rbcL_63;Cryptophyceae;
KC631634_1244;N423;;;;LC648950;Cryptophyceae;
KF693822.1_822;N2834;;;;LC648959;Cryptophyceae;
EF113445.1_1013;N420;;;;ptMAG_rbcL_71;Cryptophyceae;
EF113433.1_1018;N1112;;;;ptMAG_rbcL_37;Cryptophyceae;
FJ968741_1240;N1115;;;;LC648951;Cryptophyceae;
KM462885_1264;N1136;;;;ptMAG_rbcL_42;Cryptophyceae;
ptMAG_rbcL_227_290;N1121;;;;ptMAG_rbcL_207;Cryptophyceae;
GroupDREPX252_Consensus_-_rbcL_gene_13;N1126;;;;ptMAG_rbcL_70;Cryptophyceae;
ptMAG_rbcL_222_285;N2476;;;;LC648965;Cryptophyceae;
GroupDREPX252_Consensus_-_rbcL_gene_12;N2421;;;;NC_069042;Cryptophyceae;
ptMAG_rbcL_217_280;N2426;;;;ptMAG_rbcL_75;Cryptophyceae;
ptMAG_rbcL_140_203;N2455;;;;ptMAG_rbcL_205;Cryptophyceae;
EF113405.1_1027;N2462;;;;LC564893;Haptophyta;
ptMAG_rbcL_194_257;N2436;;;;ptMAG_rbcL_51;Haptophyta;
MW172431.1_420;N2445;;;;ptMAG_rbcL_231;Haptophyta;
GroupDREPX267_Bin_GOSK_44_8-contigsc0001_-_rbcL_gene_15;N2208;;;;NC_020371;Haptophyta;
MT920676_1322;N2409;;;;AB043633.1;Haptophyta;
KP271969_1267;N2212;;;;HQ656828.1;Haptophyta;
GroupDREPX261_Bin_MILA_54_4_1-contigsc0036_-_rbcL_gene_14;N2170;;;;AY119784.1;Haptophyta;
ptMAG_rbcL_228_291;N2112;;;;ptMAG_rbcL_39;Haptophyta;
KJ742376_1249;N2139;;;;MT471330;Haptophyta;
MK295209.1_466;N2089;;;;AB183266.1;Haptophyta;
MH983006_1309;N2085;;;;HQ656834.1;Haptophyta;
UnusedGroupDREPX909_Bin_GREF_79_4_3-contigsc0078_-_rbcL_gene_60;N2078;;;;NC_036937;Haptophyta;
MN649872_1318;N2063;;;;ptMAG_rbcL_1;Haptophyta;
KF554427_1247;N2066;;;;HQ656833.1;Haptophyta;
NC_071969_1406;N1974;;;;HQ656832.1;Haptophyta;
NC_034712_1373;N1991;;;;ON437585;Haptophyta;
EF113434.1_1017;N2011;;;;NC_007288;Haptophyta;
NC_065389_1398;N2014;;;;NC_040291;Haptophyta;
NC_028581_1360;N1301;;;;HQ656827.1;Haptophyta;
KT625414_1274;N1270;;;;HQ656829.1;Haptophyta;
EF113480.1_1000;N1179;;;;MK561359;Dictyochophyceae;
NC_028578_1358;N1188;;;;ptMAG_rbcL_41;Dictyochophyceae;
OR858607_1435;N1929;;;;MK518352;Dictyochophyceae;
MG721937.1_574;N1950;;;;ptMAG_rbcL_47;Dictyochophyceae;
AM260447.1_831;N1769;;;;OQ161672;Dictyochophyceae;
AF189068.1_722;N1306;;;;OQ161670;Dictyochophyceae;
NC_009681_1329;N2615;;;;NC_082194;Dictyochophyceae;
KM462869_1256;N2629;;;;NC_043890;Dictyochophyceae;
KM462882_1261;N2636;;;;AB081643.1;Dictyochophyceae;
MW269655.1_468;N976;;;;AF015573.1;Dictyochophyceae;
KM462876_1260;N959;;;;NC_044408;Dictyochophyceae;
ptMAG_rbcL_177_240;N938;;;;AB081639.1;Dictyochophyceae;
KF693821.1_823;N2682;;;;AB097409.1;Dictyochophyceae;
OR493440.1_304;N2675;;;;ptMAG_rbcL_229;Dictyochophyceae;
KM821265_1266;N2693;;;;ptMAG_rbcL_129;Dictyochophyceae;
NC_045839_1397;N2686;;;;ptMAG_rbcL_19;Dictyochophyceae;
JN573844.1_963;N2826;;;;ptMAG_rbcL_30;Dictyochophyceae;
NC_025525_1342;N2829;;;;ptMAG_rbcL_8;Dictyochophyceae;
NC_025535_1346;N2818;;;;ptMAG_rbcL_226;Dictyochophyceae;
KM462865_1254;N2707;;;;ptMAG_rbcL_220;Dictyochophyceae;
ptMAG_rbcL_173_236;N604;;;;ptMAG_rbcL_211;Dictyochophyceae;
NC_025529_1344;N493;;;;ptMAG_rbcL_21;Dictyochophyceae;
ptMAG_rbcL_186_249;N672;;;;ptMAG_rbcL_13;Dictyochophyceae;
MW077578.1_444;N685;;;;ptMAG_rbcL_114;Eustigmatophyceae;
OP791907.1_312;N460;;;;ON920852.1;Eustigmatophyceae;
ptMAG_rbcL_164_227;N424;;;;MZ336043.1;Eustigmatophyceae;
EF589151.1_625;N427;;;;ptMAG_rbcL_112;Eustigmatophyceae;
KM462868_1255;N2835;;;;KX354378.1;Eustigmatophyceae;
MW077588.1_442;N2838;;;;GQ405017.1;Eustigmatophyceae;
HM754409.1_693;N417;;;;ptMAG_rbcL_117;Eustigmatophyceae;
JN573835.1_964;N416;;;;NC_026851;Eustigmatophyceae;
ON805847.1_391;N1138;;;;KX354388.1;Eustigmatophyceae;
JN573852.1_962;N1122;;;;ptMAG_rbcL_116;Eustigmatophyceae;
JN573830.1_965;N1128;;;;KC598090;Eustigmatophyceae;
KM462864_1209;N2423;;;;AB052287.1;Eustigmatophyceae;
MF347442.1_601;N2427;;;;KC598084;Eustigmatophyceae;
LN877813.1_770;N2430;;;;KX839260;Eustigmatophyceae;
LN877817.1_769;N2457;;;;ptMAG_rbcL_113;Eustigmatophyceae;
EF203012.1_762;N2463;;;;ptMAG_rbcL_118;Eustigmatophyceae;
KM462862_1253;N2437;;;;ON920853.1;Eustigmatophyceae;
EF203011.1_763;N2447;;;;KX354384.1;Eustigmatophyceae;
AF189066.1_1059;N2356;;;;MT374817.1;Eustigmatophyceae;
AF189067.1_1058;N2213;;;;ON920848.1;Eustigmatophyceae;
AY694206.1_701;N2113;;;;MZ504745;Eustigmatophyceae;
HQ174310.1_469;N2120;;;;KY271703.1;Eustigmatophyceae;
KX108858.1_678;N2140;;;;MN401197.1;Eustigmatophyceae;
KF693818.1_824;N2090;;;;MN401193.1;Eustigmatophyceae;
