ID;Internal ID;;;;RbcL_ID;RbcL_based_taxa;;;RbcL_ID2;RbcL_based_taxa2;;;;RbcL_ID3;RbcL_based_taxa3
LC781622_1292;N1152;;;;ptMAG_rbcL_86;Pelagophyceae;;;ptMAG_rbcL_101;Cryptophyceae;;;;KC509520;Bacillariophyceae
AB491670.1_1028;N1059;;;;ptMAG_rbcL_85;Chrysophyceae;;;LC648961;Cryptophyceae;;;;LC523992;Chlorophyceae
NC_001675_1324;N2574;;;;ptMAG_rbcL_84;Pelagophyceae;;;LC648963;Cryptophyceae;;;;NC_038008;Bacillariophyceae
NC_038215_1377;N2549;;;;ptMAG_rbcL_83;Chrysophyceae;;;EF508371;Cryptophyceae;;;;MG755798;Mediophyceae
NC_038216_1378;N2499;;;;ptMAG_rbcL_82;Chrysophyceae;;;AF463411.1;Cryptophyceae;;;;CM075647;Pelagophyceae
NC_024169_1338;N1170;;;;ptMAG_rbcL_81;Chrysophyceae;;;AY119782.1;Cryptophyceae;;;;NC_012903;Pelagophyceae
NC_024167_1337;N1049;;;;ptMAG_rbcL_80;Chrysophyceae;;;ptMAG_rbcL_221;Cryptophyceae;;;;KC631634;Trebouxiophyceae
ptMAG_rbcL_159_222;N1052;;;;ptMAG_rbcL_8;Dictyochophyceae;;;ptMAG_rbcL_55;Cryptophyceae;;;;NC_061049;Bacillariophyceae
KM197120.1_793;N1035;;;;ptMAG_rbcL_79;Chrysophyceae;;;LC648953;Cryptophyceae;;;;NC_031173;Stylonematophyceae
HQ613263.1_733;N1038;;;;ptMAG_rbcL_78;Chrysophyceae;;;ptMAG_rbcL_63;Cryptophyceae;;;;NC_024811;Mamiellophyceae
KU646490_1279;N1031;;;;ptMAG_rbcL_77;Chrysophyceae;;;LC648950;Cryptophyceae;;;;MG755806;Mediophyceae
AF494278_1229;N1153;;;;ptMAG_rbcL_76;Chrysophyceae;;;LC648959;Cryptophyceae;;;;MG755805;Mediophyceae
KU646493_1280;N1060;;;;ptMAG_rbcL_75;Cryptophyceae;;;ptMAG_rbcL_71;Cryptophyceae;;;;NC_025541;Trebouxiophyceae
NC_002186_1325;N2576;;;;ptMAG_rbcL_74;Chrysophyceae;;;ptMAG_rbcL_37;Cryptophyceae;;;;MK408749;Ulvophyceae
NC_008822_1328;N2567;;;;ptMAG_rbcL_73;Chrysophyceae;;;LC648951;Cryptophyceae;;;;MH591102;Ulvophyceae
ptMAG_rbcL_132_195;N2550;;;;ptMAG_rbcL_72;Chrysophyceae;;;ptMAG_rbcL_42;Cryptophyceae;;;;MH591104;Ulvophyceae
ptMAG_rbcL_185_248;N2500;;;;ptMAG_rbcL_71;Cryptophyceae;;;ptMAG_rbcL_207;Cryptophyceae;;;;NC_039520;Ulvophyceae
ptMAG_rbcL_193_256;N2507;;;;ptMAG_rbcL_70;Cryptophyceae;;;ptMAG_rbcL_70;Cryptophyceae;;;;KM462884;Trebouxiophyceae
GroupDREPX1331_Consensus_-_rbcL_gene_53;N2488;;;;ptMAG_rbcL_7;Diatoms;;;LC648965;Cryptophyceae;;;;KT199253;Chlorophyceae
ptMAG_rbcL_138_201;N1171;;;;ptMAG_rbcL_69;Chrysophyceae;;;NC_069042;Cryptophyceae;;;;KT625421;Chlorophyceae
ptMAG_rbcL_139_202;N1039;;;;ptMAG_rbcL_68;Chrysophyceae;;;ptMAG_rbcL_75;Cryptophyceae;;;;NC_029675;Chlorophyceae
KJ461681_1248;N1020;;;;ptMAG_rbcL_67;Chrysophyceae;;;ptMAG_rbcL_205;Cryptophyceae;;;;NC_013359;Ulvophyceae
ptMAG_rbcL_122_185;N1019;;;;ptMAG_rbcL_66;Chrysophyceae;;;LC564893;Haptophyta;;;;LN810504;Ulvophyceae
ptMAG_rbcL_123_186;N1155;;;;ptMAG_rbcL_65;Chrysophyceae;;;ptMAG_rbcL_51;Haptophyta;;;;KY819063;Ulvophyceae
GroupDREPX124_Contig_1_-_rbcL_gene_2;N1061;;;;ptMAG_rbcL_64;Chrysophyceae;;;ptMAG_rbcL_231;Haptophyta;;;;NC_072903;Trebouxiophyceae
MT896722_1321;N1088;;;;ptMAG_rbcL_63;Cryptophyceae;;;NC_020371;Haptophyta;;;;NC_039522;Ulvophyceae
ptMAG_rbcL_124_187;N2586;;;;ptMAG_rbcL_62;Chrysophyceae;;;AB043633.1;Haptophyta;;;;KT625419;Chlorophyceae
GroupDREPX942_Annotated_Unfinished_-_rbcL_gene_43;N2577;;;;ptMAG_rbcL_61;Chrysophyceae;;;HQ656828.1;Haptophyta;;;;NC_028585;Chlorophyceae
AY958085_1235;N2568;;;;ptMAG_rbcL_60;Chrysophyceae;;;AY119784.1;Haptophyta;;;;MK792749;Ulvophyceae
ptMAG_rbcL_187_250;N2571;;;;ptMAG_rbcL_6;Chrysophyceae;;;ptMAG_rbcL_39;Haptophyta;;;;NC_031368;Ulvophyceae
ptMAG_rbcL_121_184;N2564;;;;ptMAG_rbcL_59;Chrysophyceae;;;MT471330;Haptophyta;;;;MG753774;Ulvophyceae
NC_030314_1224;N2551;;;;ptMAG_rbcL_58;Pelagophyceae;;;AB183266.1;Haptophyta;;;;NC_039523;Ulvophyceae
ptMAG_rbcL_125_188;N2502;;;;ptMAG_rbcL_57;Chrysophyceae;;;HQ656834.1;Haptophyta;;;;NC_086863;Ulvophyceae
NC_030356_1370;N2508;;;;ptMAG_rbcL_56;Chrysophyceae;;;NC_036937;Haptophyta;;;;MZ334628;Ulvophyceae
NC_030355_1369;N2519;;;;ptMAG_rbcL_55;Cryptophyceae;;;ptMAG_rbcL_1;Haptophyta;;;;OQ848499;Ulvophyceae
NC_030359_1371;N2489;;;;ptMAG_rbcL_54;Chrysophyceae;;;HQ656833.1;Haptophyta;;;;OQ848501;Ulvophyceae
AY958086_1236;N2494;;;;ptMAG_rbcL_53;Chrysophyceae;;;HQ656832.1;Haptophyta;;;;MZ334627;Ulvophyceae
OP888486_1430;N2485;;;;ptMAG_rbcL_52;Chrysophyceae;;;ON437585;Haptophyta;;;;NC_025313;Mediophyceae
OQ935591_1212;N1172;;;;ptMAG_rbcL_51;Haptophyta;;;NC_007288;Haptophyta;;;;MW845779;Mediophyceae
ptMAG_rbcL_119_182;N1040;;;;ptMAG_rbcL_50;Chrysophyceae;;;NC_040291;Haptophyta;;;;LC537471;Mediophyceae
ptMAG_rbcL_199_262;N1028;;;;ptMAG_rbcL_5;Chrysophyceae;;;HQ656827.1;Haptophyta;;;;NC_053621;Mediophyceae
ptMAG_rbcL_181_244;N1021;;;;ptMAG_rbcL_49;Chrysophyceae;;;HQ656829.1;Haptophyta;;;;MN701588;Chlorophyceae
KX306884_1283;N2592;;;;ptMAG_rbcL_48;Chrysophyceae;;;MK561359;Dictyochophyceae;;;;NC_047431;Chlorophyceae
NC_008097_1326;N1018;;;;ptMAG_rbcL_47;Dictyochophyceae;;;ptMAG_rbcL_41;Dictyochophyceae;;;;AF494278;Mesostigmatophyceae
MW556321_1323;N1156;;;;ptMAG_rbcL_46;Chrysophyceae;;;MK518352;Dictyochophyceae;;;;NC_008097;Charophyceae
NC_024828_1339;N1161;;;;ptMAG_rbcL_45;Chrysophyceae;;;ptMAG_rbcL_47;Dictyochophyceae;;;;KT625418;Chlorophyceae
NC_042488_1395;N1079;;;;ptMAG_rbcL_44;Cryptophyceae;;;OQ161672;Dictyochophyceae;;;;OP298011;Chlorophyceae
MK085997_1314;N1062;;;;ptMAG_rbcL_43;Chrysophyceae;;;OQ161670;Dictyochophyceae;;;;MF083690;Chlorophyceae
MK085989_1311;N1148;;;;ptMAG_rbcL_42;Cryptophyceae;;;NC_082194;Dictyochophyceae;;;;KF554427;Trebouxiophyceae
MK085986_1310;N1089;;;;ptMAG_rbcL_41;Dictyochophyceae;;;NC_043890;Dictyochophyceae;;;;KP271969;Trebouxiophyceae
NC_027093_1354;N2588;;;;ptMAG_rbcL_40;Chrysophyceae;;;AB081643.1;Dictyochophyceae;;;;KM462865;Trebouxiophyceae
NC_025530_1345;N2579;;;;ptMAG_rbcL_4;Chrysophyceae;;;AF015573.1;Dictyochophyceae;;;;MT920676;Trebouxiophyceae
FJ968740_1239;N2559;;;;ptMAG_rbcL_39;Haptophyta;;;NC_044408;Dictyochophyceae;;;;KJ742376;Trebouxiophyceae
KM462870_1257;N2552;;;;ptMAG_rbcL_38;Raphidophyceae;;;AB081639.1;Dictyochophyceae;;;;OK569791;Trebouxiophyceae
KR822596.1_771;N2504;;;;ptMAG_rbcL_37;Cryptophyceae;;;AB097409.1;Dictyochophyceae;;;;OP448669;Chlorophyceae
AB561085.1_990;N2509;;;;ptMAG_rbcL_36;Chrysophyceae;;;ptMAG_rbcL_229;Dictyochophyceae;;;;NC_042182;Chlorophyceae
U30288.1_953;N2512;;;;ptMAG_rbcL_35;Diatoms;;;ptMAG_rbcL_129;Dictyochophyceae;;;;ON986219;Trebouxiophyceae
OL684559.1_410;N2545;;;;ptMAG_rbcL_34;Diatoms;;;ptMAG_rbcL_19;Dictyochophyceae;;;;NC_008822;Zygnemophyceae
AY257109.1_714;N2520;;;;ptMAG_rbcL_33;Diatoms;;;ptMAG_rbcL_30;Dictyochophyceae;;;;OP765320;Trebouxiophyceae
KY407657_1216;N2490;;;;ptMAG_rbcL_32;Diatoms;;;ptMAG_rbcL_8;Dictyochophyceae;;;;MK085990;Chloropicophyceae
AY257110.1_713;N2495;;;;ptMAG_rbcL_31;Diatoms;;;ptMAG_rbcL_226;Dictyochophyceae;;;;NC_042489;Chloropicophyceae
MK408749_1439;N2192;;;;ptMAG_rbcL_30;Dictyochophyceae;;;ptMAG_rbcL_220;Dictyochophyceae;;;;MK085993;Chloropicophyceae
JN573804.1_966;N1173;;;;ptMAG_rbcL_3;Diatoms;;;ptMAG_rbcL_211;Dictyochophyceae;;;;OQ849777;Chlorophyta_XX
OQ349516_1447;N1022;;;;ptMAG_rbcL_29;Diatoms;;;ptMAG_rbcL_21;Dictyochophyceae;;;;KJ746602;Chlorophyta_XX
AY257122.1_711;N2593;;;;ptMAG_rbcL_28;Diatoms;;;ptMAG_rbcL_13;Dictyochophyceae;;;;MK085989;Chloropicophyceae
MG721795.1_575;N2602;;;;ptMAG_rbcL_27;Diatoms;;;ptMAG_rbcL_114;Eustigmatophyceae;;;;MK085986;Chloropicophyceae
ptMAG_rbcL_182_245;N1009;;;;ptMAG_rbcL_26;Bolidophyceae;;;ON920852.1;Eustigmatophyceae;;;;NC_042488;Chloropicophyceae
KY407661_1286;N1008;;;;ptMAG_rbcL_25;Diatoms;;;MZ336043.1;Eustigmatophyceae;;;;MK085997;Chloropicophyceae
AY835431_1213;N1157;;;;ptMAG_rbcL_24;Diatoms;;;ptMAG_rbcL_112;Eustigmatophyceae;;;;MG778185;Chlorophyceae
AF499683.1_655;N1162;;;;ptMAG_rbcL_232;Chlorophyceae;;;KX354378.1;Eustigmatophyceae;;;;NC_029673;Chlorophyceae
NC_034709_1217;N1080;;;;ptMAG_rbcL_231;Haptophyta;;;GQ405017.1;Eustigmatophyceae;;;;NC_020795 ;Florideophyceae
KX268523.1_757;N1063;;;;ptMAG_rbcL_230;Chrysophyceae;;;ptMAG_rbcL_117;Eustigmatophyceae;;;;NC_025539;Trebouxiophyceae
OQ159090_1431;N1091;;;;ptMAG_rbcL_23;Diatoms;;;NC_026851;Eustigmatophyceae;;;;HM222967;Colpodellidea
KX306821_1214;N2580;;;;ptMAG_rbcL_229;Dictyochophyceae;;;KX354388.1;Eustigmatophyceae;;;;NC_029672;Chlorophyceae
KX306824_1215;N2561;;;;ptMAG_rbcL_228;Trebouxiophyceae;;;ptMAG_rbcL_116;Eustigmatophyceae;;;;LC648962;Cryptophyceae
NC_043776_1442;N2554;;;;ptMAG_rbcL_227;Trebouxiophyceae;;;KC598090;Eustigmatophyceae;;;;LC648955;Cryptophyceae
MZ334625_1441;N2514;;;;ptMAG_rbcL_226;Dictyochophyceae;;;AB052287.1;Eustigmatophyceae;;;;KY860574;Cryptophyceae
NC_060532_1219;N2521;;;;ptMAG_rbcL_225;Chrysophyceae;;;KC598084;Eustigmatophyceae;;;;NC_036937;Prymnesiophyceae
NC_086863_1444;N2524;;;;ptMAG_rbcL_224;Mamiellophyceae;;;KX839260;Eustigmatophyceae;;;;ON437585;Prymnesiophyceae
OQ848501_1453;N2470;;;;ptMAG_rbcL_223;Chlorophyceae;;;ptMAG_rbcL_113;Eustigmatophyceae;;;;NC_030314;Zygnemophyceae
MZ334628_1223;N2193;;;;ptMAG_rbcL_222;Trebouxiophyceae;;;ptMAG_rbcL_118;Eustigmatophyceae;;;;NC_018569;Chlorophyceae
OQ848499_1450;N2097;;;;ptMAG_rbcL_221;Cryptophyceae;;;ON920853.1;Eustigmatophyceae;;;;OR699085;Bacillariophyceae
MZ334627_1452;N1174;;;;ptMAG_rbcL_220;Dictyochophyceae;;;KX354384.1;Eustigmatophyceae;;;;KY819066;Ulvophyceae
KY495853.1_643;N1024;;;;ptMAG_rbcL_22;Diatoms;;;MT374817.1;Eustigmatophyceae;;;;NC_039524;Ulvophyceae
MH545327.1_560;N2594;;;;ptMAG_rbcL_219;Chrysophyceae;;;ON920848.1;Eustigmatophyceae;;;;MF423120;Chlorophyceae
AY177748.1_735;N2658;;;;ptMAG_rbcL_218;Chlorophyceae;;;MZ504745;Eustigmatophyceae;;;;NC_068582;Chlorophyceae
ON971347.1_404;N2603;;;;ptMAG_rbcL_217;Trebouxiophyceae;;;KY271703.1;Eustigmatophyceae;;;;OP179277;Euglenida
FJ715717.1_755;N1011;;;;ptMAG_rbcL_216;Chrysophyceae;;;MN401197.1;Eustigmatophyceae;;;;KU646493;Coleochaetophyceae
AY177746.1_736;N921;;;;ptMAG_rbcL_215;Chlorophyceae;;;MN401193.1;Eustigmatophyceae;;;;NC_025314;Mediophyceae
MH545335.1_559;N920;;;;ptMAG_rbcL_214;Chlorophyceae;;;MN401194.1;Eustigmatophyceae;;;;MW561225;Coscinodiscophyceae
AY177739.1_738;N1081;;;;ptMAG_rbcL_213;Chrysophyceae;;;KX354385.1;Eustigmatophyceae;;;;NC_059929;Coscinodiscophyceae
AY177737.1_740;N1064;;;;ptMAG_rbcL_212;Chrysophyceae;;;KX354386.1;Eustigmatophyceae;;;;KC509521;Coscinodiscophyceae
AY177741.1_737;N1092;;;;ptMAG_rbcL_211;Dictyochophyceae;;;ptMAG_rbcL_115;Chrysophyceae;;;;MT896722;Zygnemophyceae
AY177738.1_739;N1099;;;;ptMAG_rbcL_210;Mamiellophyceae;;;HF549074.1;Chrysophyceae;;;;NC_027286;Euglenida
NC_012101_1331;N2582;;;;ptMAG_rbcL_21;Dictyochophyceae;;;MH795132;Chrysophyceae;;;;LC648959;Cryptophyceae
UnusedGroupDREPX1144_Bin_LAND_16_3_1-contigsc0006_-_rbcL_gene_63;N2556;;;;ptMAG_rbcL_209;Chlorophyceae;;;ptMAG_rbcL_66;Chrysophyceae;;;;NC_069042;Cryptophyceae
ptMAG_rbcL_151_214;N2515;;;;ptMAG_rbcL_208;Chlorophyceae;;;ptMAG_rbcL_5;Chrysophyceae;;;;LC648965;Cryptophyceae
UnusedGroupDREPX1083_Bin_NVAL_39_45-contigsc0612_-_rbcL_gene_62;N2538;;;;ptMAG_rbcL_207;Cryptophyceae;;;ptMAG_rbcL_76;Chrysophyceae;;;;LC648951;Cryptophyceae
ptMAG_rbcL_136_199;N2525;;;;ptMAG_rbcL_206;Mamiellophyceae;;;NC_040135;Chrysophyceae;;;;LC648953;Cryptophyceae
ptMAG_rbcL_161_224;N2471;;;;ptMAG_rbcL_205;Cryptophyceae;;;ptMAG_rbcL_68;Chrysophyceae;;;;LC648950;Cryptophyceae
ptMAG_rbcL_172_235;N2417;;;;ptMAG_rbcL_204;Euglenophyceae;;;MH795129;Chrysophyceae;;;;MK798155;Cryptophyceae
ptMAG_rbcL_206_269;N2194;;;;ptMAG_rbcL_203;Euglenophyceae;;;ptMAG_rbcL_52;Chrysophyceae;;;;NC_004799;Bangiophyceae
ptMAG_rbcL_128_191;N2173;;;;ptMAG_rbcL_202;Euglenophyceae;;;NC_040134;Chrysophyceae;;;;NC_001840;Bangiophyceae
ptMAG_rbcL_224_287;N2098;;;;ptMAG_rbcL_201;Trebouxiophyceae;;;ptMAG_rbcL_107;Chrysophyceae;;;;CP003947;Cyanophyceae
ptMAG_rbcL_2_65;N2072;;;;ptMAG_rbcL_200;Trebouxiophyceae;;;MH795128;Chrysophyceae;;;;NC_038215;Glaucocystophyceae
ptMAG_rbcL_210_273;N1175;;;;ptMAG_rbcL_20;Diatoms;;;ptMAG_rbcL_102;Chrysophyceae;;;;NC_038216;Glaucocystophyceae
ptMAG_rbcL_198_261;N2595;;;;ptMAG_rbcL_2;Mamiellophyceae;;;ptMAG_rbcL_60;Chrysophyceae;;;;NC_001675;Glaucocystophyceae
GroupDREPX195_Bin_CEPX_5_1_13-contigsc0034_-_rbcL_gene_5;N2659;;;;ptMAG_rbcL_199;Streptophyta;;;ptMAG_rbcL_81;Chrysophyceae;;;;CP001287;Cyanophyceae
GroupDREPX195_Bin_CEPX_12_1_2-contigsc0148_-_rbcL_gene_6;N2664;;;;ptMAG_rbcL_198;Mamiellophyceae;;;ptMAG_rbcL_110;Chrysophyceae;;;;MT385839;Mediophyceae
GroupDREPX195_Bin_CEPX_5_1_13-contigsc0034_-_rbcL_gene_4;N2604;;;;ptMAG_rbcL_197;Chlorophyceae;;;ptMAG_rbcL_90;Chrysophyceae;;;;NC_030359;Zygnemophyceae
NC_067041_1401;N2611;;;;ptMAG_rbcL_196;Chlorophyceae;;;ptMAG_rbcL_99;Chrysophyceae;;;;OK505009;Bacillariophyceae
ON645926_1421;N1012;;;;ptMAG_rbcL_195;Chlorophyceae;;;ptMAG_rbcL_103;Chrysophyceae;;;;KC509522;Bacillariophyceae
ptMAG_rbcL_133_196;N922;;;;ptMAG_rbcL_194;Trebouxiophyceae;;;EF165167.1;Chrysophyceae;;;;NC_030169;Pyramimonadophyceae
LC604816_1291;N927;;;;ptMAG_rbcL_193;Streptophyta;;;ptMAG_rbcL_92;Chrysophyceae;;;;KX808497;Ulvophyceae
ptMAG_rbcL_175_238;N2671;;;;ptMAG_rbcL_192;Chlorophyceae;;;ptMAG_rbcL_46;Chrysophyceae;;;;NC_066651;Chlorophyceae
ptMAG_rbcL_180_243;N919;;;;ptMAG_rbcL_191;Chlorophyceae;;;ptMAG_rbcL_87;Chrysophyceae;;;;NC_020371;Pavlovophyceae
NC_025539_1347;N1082;;;;ptMAG_rbcL_190;Trebouxiophyceae;;;ptMAG_rbcL_73;Chrysophyceae;;;;KM462885;Trebouxiophyceae
AF137379_1228;N1072;;;;ptMAG_rbcL_19;Dictyochophyceae;;;EF165164.1;Chrysophyceae;;;;MK561359;Dictyochophyceae
NC_059722_1443;N1065;;;;ptMAG_rbcL_189;Chlorophyceae;;;ptMAG_rbcL_230;Chrysophyceae;;;;KC509523;Bacillariophyceae
NC_024829_1340;N1093;;;;ptMAG_rbcL_188;Chlorophyceae;;;ptMAG_rbcL_36;Chrysophyceae;;;;NC_039969;Euglenida
MN056173_1317;N1100;;;;ptMAG_rbcL_187;Streptophyta;;;ptMAG_rbcL_61;Chrysophyceae;;;;CP051206;Cyanophyceae
AF509627.1_743;N1109;;;;ptMAG_rbcL_186;Trebouxiophyceae;;;ptMAG_rbcL_212;Chrysophyceae;;;;NC_016732;Chlorophyceae
ptMAG_rbcL_163_226;N2539;;;;ptMAG_rbcL_185;Streptophyta;;;ptMAG_rbcL_216;Chrysophyceae;;;;NC_014287;Dinophyceae
U30277.1_957;N2535;;;;ptMAG_rbcL_184;Pyramimonadophyceae;;;EF165162.1;Chrysophyceae;;;;NC_069043;Chlorophyceae
KF285530_1246;N2526;;;;ptMAG_rbcL_183;Chlorophyceae;;;EF165163.1;Chrysophyceae;;;;NC_025548;Trebouxiophyceae
U30278.1_956;N2481;;;;ptMAG_rbcL_182;Ulvophyceae;;;ptMAG_rbcL_85;Chrysophyceae;;;;NC_007288;Prymnesiophyceae
NC_012575_1332;N2472;;;;ptMAG_rbcL_181;Streptophyta;;;ptMAG_rbcL_43;Chrysophyceae;;;;NC_038001;Bacillariophyceae
ptMAG_rbcL_171_234;N2418;;;;ptMAG_rbcL_180;Trebouxiophyceae;;;ptMAG_rbcL_40;Chrysophyceae;;;;KU646490;Klebsormidiophyceae
ptMAG_rbcL_160_223;N2195;;;;ptMAG_rbcL_18;Diatoms;;;OQ466208.1;Chrysophyceae;;;;NC_057645;Mediophyceae
AF509626.1_744;N2204;;;;ptMAG_rbcL_179;Chlorophyceae;;;ptMAG_rbcL_93;Chrysophyceae;;;;MH161344;Chlorophyceae
KJ746597_1250;N2174;;;;ptMAG_rbcL_178;Chlorophyceae;;;ptMAG_rbcL_95;Chrysophyceae;;;;KT223519;Euglenida
KJ746602_1252;N2183;;;;ptMAG_rbcL_177;Trebouxiophyceae;;;OQ466205.1;Chrysophyceae;;;;NC_071862;Euglenida
KJ746598_1251;N2099;;;;ptMAG_rbcL_176;Trebouxiophyceae;;;EF165158.1;Chrysophyceae;;;;NC_071861;Euglenida
U30281.1_955;N2108;;;;ptMAG_rbcL_175;Trebouxiophyceae;;;ptMAG_rbcL_62;Chrysophyceae;;;;JQ237893;Euglenida
NC_012097_1330;N2074;;;;ptMAG_rbcL_174;Trebouxiophyceae;;;ptMAG_rbcL_80;Chrysophyceae;;;;NC_035156;Euglenida
U30279.1_954;N1971;;;;ptMAG_rbcL_173;Trebouxiophyceae;;;ptMAG_rbcL_57;Chrysophyceae;;;;KP686075;Euglenida
NC_042489_1396;N1176;;;;ptMAG_rbcL_172;Mamiellophyceae;;;OQ466175.1;Chrysophyceae;;;;MF622086;Euglenida
MK085993_1313;N2596;;;;ptMAG_rbcL_171;Mamiellophyceae;;;ptMAG_rbcL_72;Chrysophyceae;;;;X70810;Euglenida
MK085990_1312;N2660;;;;ptMAG_rbcL_170;Trebouxiophyceae;;;ptMAG_rbcL_98;Chrysophyceae;;;;NC_038187;Euglenida
NC_030169_1368;N2665;;;;ptMAG_rbcL_17;Bolidophyceae;;;ptMAG_rbcL_83;Chrysophyceae;;;;OP179278;Euglenida
FJ493499_1238;N2606;;;;ptMAG_rbcL_169;Chlorophyceae;;;ptMAG_rbcL_78;Chrysophyceae;;;;KC684276;Euglenida
ptMAG_rbcL_184_247;N2612;;;;ptMAG_rbcL_168;Trebouxiophyceae;;;ptMAG_rbcL_50;Chrysophyceae;;;;KP453743;Euglenida
OK136184_1413;N1013;;;;ptMAG_rbcL_167;Chlorophyceae;;;ptMAG_rbcL_213;Chrysophyceae;;;;KF733443;Bacillariophyceae
NC_017754_1335;N924;;;;ptMAG_rbcL_166;Trebouxiophyceae;;;ptMAG_rbcL_82;Chrysophyceae;;;;OK136183;Euglenida
OK136185_1414;N928;;;;ptMAG_rbcL_165;Chlorophyceae;;;ptMAG_rbcL_79;Chrysophyceae;;;;OK136185;Euglenida
OK136183_1445;N935;;;;ptMAG_rbcL_164;Trebouxiophyceae;;;ptMAG_rbcL_94;Chrysophyceae;;;;OK136184;Euglenida
NC_039970_1390;N2672;;;;ptMAG_rbcL_163;Mamiellophyceae;;;HF549072.1;Chrysophyceae;;;;NC_017754;Euglenida
NC_039971_1391;N2703;;;;ptMAG_rbcL_162;Chlorophyceae;;;ptMAG_rbcL_91;Chrysophyceae;;;;MT383641;Bacillariophyceae
NC_039928_1387;N490;;;;ptMAG_rbcL_161;Mamiellophyceae;;;ptMAG_rbcL_54;Chrysophyceae;;;;OP179281;Euglenida
NC_039969_1389;N489;;;;ptMAG_rbcL_160;Mamiellophyceae;;;ptMAG_rbcL_225;Chrysophyceae;;;;MK518352;Dictyochophyceae
NC_071864_1225;N1074;;;;ptMAG_rbcL_16;Diatoms;;;ptMAG_rbcL_106;Chrysophyceae;;;;OQ694379;Bacillariophyceae
NC_039967_1388;N1066;;;;ptMAG_rbcL_159;Streptophyta;;;ptMAG_rbcL_56;Chrysophyceae;;;;MK217824;Bacillariophyceae
NC_039927_1386;N1094;;;;ptMAG_rbcL_158;Chlorophyceae;;;ptMAG_rbcL_219;Chrysophyceae;;;;KM462882;Trebouxiophyceae
KC684276_1245;N1106;;;;ptMAG_rbcL_157;Trebouxiophyceae;;;ptMAG_rbcL_59;Chrysophyceae;;;;OQ159090;Ulvophyceae
KP453743_1268;N1101;;;;ptMAG_rbcL_156;Trebouxiophyceae;;;ptMAG_rbcL_53;Chrysophyceae;;;;KM462883;Trebouxiophyceae
JX457480_1243;N1110;;;;ptMAG_rbcL_155;Chlorophyceae;;;AF155877.1;Chrysophyceae;;;;CP017675;Cyanophyceae
NC_027287_1356;N1119;;;;ptMAG_rbcL_154;Trebouxiophyceae;;;EF165149.1;Chrysophyceae;;;;KX306824;Ulvophyceae
NC_027286_1355;N2540;;;;ptMAG_rbcL_153;Chlorophyceae;;;EF165154.1;Chrysophyceae;;;;KY499654;Bacillariophyceae
NC_035156_1374;N2532;;;;ptMAG_rbcL_152;Chlorophyceae;;;EF165150.1;Chrysophyceae;;;;NC_067848;Bacillariophyceae
OP179281_1427;N2527;;;;ptMAG_rbcL_151;Mamiellophyceae;;;EF165152.1;Chrysophyceae;;;;AP012494;Chlorophyceae
ptMAG_rbcL_204_267;N2473;;;;ptMAG_rbcL_150;Trebouxiophyceae;;;AF015572.1;Chrysophyceae;;;;NC_066823;Chlorophyceae
OP179277_1425;N2419;;;;ptMAG_rbcL_15;Diatoms;;;ptMAG_rbcL_96;Chrysophyceae;;;;OQ935591;Embryophyceae
