Name,Sequence Name,Minimum,Maximum,Length,Direction
23SrRNA | LSU-fragment | 23S-fragment | rrn26S-fragment | 23rrn-fragment | rrn23S rRNA-fragment gene,Bin_RIMV_12_3_2-contigsc0034,22899,23313,415,forward
23SrRNA | rrn23-fragment gene,Bin_MEDD_134_5_3-contigsc0007,23595,23676,82,forward
23SrRNA | rrn23S rRNA gene,Consensus,83418,83536,119,forward
23SrRNA-fragment | 23S rRNA-fragment | rrn26S-fragment | 23rrn-fragment gene,Consensus,132354,132768,415,reverse
accD gene,Contig 1,78657,79550,894,reverse
accD gene,Bin_VELN_32_5-contigsc0290,1980,2936,957,reverse
accD gene,Bin_FERT_9_17-contigsc0016,23353,24309,957,reverse
accD gene,Bin_ZLUT_103_5_31-contigsc0251,32666,33559,894,reverse
accD gene,Bin_TSKO_28_34-contigsc0093,77689,78582,894,forward
accD gene,Bin_SZYM_18_24-contigsc0004,28304,29197,894,reverse
accD gene,Bin_ROSX_44_5-contigsc0474,18100,18993,894,reverse
accD gene,Bin_ROSX_18_26-contigsc0170,25755,26648,894,reverse
accD gene,Bin_BRTL_49_5_6-contigsc0002,131705,132598,894,forward
accD gene,Bin_VSVK_22_29-contigsc0011,39336,40231,896,reverse
accD gene,Bin_FUNE_55_59-contigsc0038,11760,12791,1032,reverse
accD gene,Bin_MILA_54_4_1-contigsc0036,43647,44525,879,forward
accD gene,Bin_GOSK_44_8-contigsc0001,44066,45218,1153,forward
accD gene,Bin_GOSK_24_30-contigsc0282,3523,3807,285,forward
accD gene,Bin_FUNE_65_68-contigsc0005,2665,2742,78,reverse
accD gene,Bin_CERN_29_7-contigsc0644,1951,2844,894,forward
accD gene,Contig 1,324207,324407,201,forward
accD gene,Contig 1,2507,2584,78,reverse
accD gene,Bin_KAST_5_13-contigsc1334,9296,9584,289,forward
accD gene,Consensus,44802,45698,897,reverse
accD gene,Bin_STIU_11_19-contigsc0537,4396,4569,174,forward
accD gene,Bin_PRSC_117_75-contigsc0269,11444,11599,156,reverse
accD gene,Bin_NVAL_2_10-contigsc0854,24,152,129,forward
accD gene,GroupDREPX942_Annotated_Unfinished,39130,40031,902,forward
accD gene,GroupDREPX942_Annotated_Unfinished,230764,230802,39,forward
accD gene,Consensus,81315,81884,570,reverse
acpP gene,Bin_MEDD_45_2_3-contigsc0202,100039,100446,408,forward
acpP gene,Bin_MEDD_45_2_3-contigsc0202,73518,73916,399,reverse
acpP gene,Bin_MEDD_126_5_14-contigsc0015,44536,44781,246,forward
acpP gene,Bin_MAJC_58_4_11-contigsc0598,1312,1723,412,forward
acpP gene,Bin_BRTL_9_2_4-contigsc0031,6198,6443,246,forward
acpP gene,Contig 10,59195,59440,246,forward
acpP gene,Contig 17,16482,16727,246,forward
acpP gene,Consensus,72102,72347,246,reverse
acpP gene,GroupDREPX614_Annotated_Unfinished,44996,45241,246,reverse
acpP gene,Bin_FUNE_7_15-contigsc0058,46721,46966,246,reverse
acpP gene,Bin_SZYM_42_46-contigsc0015,61203,61448,246,forward
acpP gene,Contig 1,46996,47241,246,reverse
acpP gene,Contig 2,61637,61882,246,forward
acpP gene,Bin_SZYM_45_49-contigsc0013,59760,60005,246,forward
acpP gene,Contig 4,44540,44785,246,reverse
acpP gene,GroupDREPX642_Annotated_unfinished,45096,45341,246,reverse
acpP gene,Contig 1,56665,56910,246,forward
acpP gene,Contig 3,56528,56773,246,forward
acpP gene,GroupDREPX658_Annotated_unfinished,45075,45320,246,reverse
acpP gene,Consensus,51687,51932,246,reverse
acpP gene,Bin_RIMV_9_2_8-contigsc0022,45301,45546,246,reverse
acpP gene,Consensus,56494,56739,246,forward
acpP gene,Consensus,185967,186212,246,forward
acpP gene,Bin_ZLUT_44_2_1-contigsc0027,56434,56679,246,forward
acpP gene,Bin_ZLUT_29_1_36-contigsc0127,45004,45249,246,reverse
acpP gene,GroupDREPX710_Annotated_Unfinished,56131,56376,246,forward
acpP gene,Bin_ZLUT_154_6_18-contigsc0021,57733,57978,246,forward
acpP gene,Bin_PRSC_117_75-contigsc0020,140377,140544,168,forward
acpP gene,Bin_FUNE_4_12-contigsc0035,65123,65314,192,forward
acpP gene,Bin_FUNE_4_12-contigsc0035,187399,187590,192,forward
acpP gene,Bin_RIMV_12_3_2-contigsc0034,48609,48800,192,forward
acpP gene,GroupDREPX938_Annotated_Unfinished,17383,17783,401,reverse
acpP gene,GroupDREPX942_Annotated_Unfinished,236003,236410,408,reverse
acpP gene,Consensus,68890,69297,408,reverse
acpP gene,Bin_TOTR_46_51-contigsc0628,5868,6275,408,reverse
acpP gene,Consensus,45013,45426,414,forward
acpP gene,Bin_CERT_28_34-contigsc0002,83421,83834,414,forward
acpP gene,Consensus,155017,155430,414,forward
acpP gene,Consensus,52389,52802,414,reverse
acpP gene,Consensus,77058,77464,407,forward
acpP gene,Bin_FUNE_56_6-contigsc0004,56004,56409,406,reverse
acpP gene,UnusedGroupDREPX106_Annotated_Unfinished,105933,106136,204,forward
acpP gene,Bin_EDVL_34_4-contigsc0983,46379,46624,246,reverse
acpP gene,Bin_SANA_18_8-contigsc0006,62754,62999,246,forward
acpP gene,UnusedGroupDREPX493_Annotated_Unfinished,20790,20999,210,reverse
acpP1 gene,Contig 3,60467,60661,195,forward
acpP1 gene,UnusedGroupDREPX106_Annotated_Unfinished,105876,106055,180,forward
acsF gene,Bin_ZLUT_85_5_14-contigsc0836,9737,10783,1047,reverse
acsF gene,Bin_MEDD_45_2_3-contigsc0202,140351,141400,1050,forward
acsF gene,Bin_MEDD_45_2_3-contigsc0202,32555,33604,1050,reverse
acsF gene,GroupDREPX938_Annotated_Unfinished,83982,84984,1003,forward
acsF gene,GroupDREPX942_Annotated_Unfinished,194315,195343,1029,reverse
acsF gene,Consensus,8958,10008,1051,reverse
acsF gene,Consensus,90646,91701,1056,forward
acsF gene,Bin_CERT_28_34-contigsc0002,126685,127740,1056,forward
acsF gene,Consensus,8426,9481,1056,reverse
acsF gene,Consensus,198254,199309,1056,forward
acsF gene,Consensus,118410,119420,1011,forward
acsF gene,Bin_ZURI_16_25-contigsc0018,99536,100537,1002,forward
acsF gene,Bin_PIBR_42_47-contigsc0248,26995,28005,1011,reverse
acsF gene,Bin_FUNE_56_6-contigsc0004,14054,15067,1014,reverse
acsF gene,Bin_MEDD_134_5_3-contigsc0007,5206,6213,1008,forward
acsF gene,Bin_BALM_14_22-contigsc0006,116282,117208,927,reverse
acsF-fragment gene,GroupDREPX938_Annotated_Unfinished,30331,31263,933,reverse
alaS gene,Contig 1,320065,321045,981,forward
APC-beta | apcB gene,Contig 6,10519,10683,165,forward
apcB gene,Consensus,114734,122374,7641,reverse
apcB gene,Bin_ZURI_16_25-contigsc0018,13393,44170,30778,reverse
apcE gene,GroupDREPX942_Annotated_Unfinished,203694,219077,15384,forward
apcE-fragment gene,Consensus,51757,52080,324,reverse
apcF gene,Bin_MEDD_134_5_3-contigsc0007,123247,123300,54,forward
aptA gene,Contig 1,111592,112434,843,forward
aptA gene,GroupDREPX771_Annotated_Unfinished,98637,98690,54,reverse
aptI gene,Contig 2,27211,27291,81,reverse
atp B | atpD gene,Bin_BALM_56_60-contigsc0326,2300,2778,479,forward
atp E gene,Bin_CEPX_5_1_13-contigsc0034,132831,133085,255,forward
atp E gene,Contig 3,48165,48275,111,forward
atp E gene,Bin_ZLUT_29_1_36-contigsc0127,57554,57664,111,reverse
atp E gene,Bin_NVAL_39_45-contigsc0612,100654,100782,129,forward
atp8 gene,GroupDREPX942_Annotated_Unfinished,205541,206954,1414,reverse
atp8 | atpB gene,Bin_PRSC_117_75-contigsc0020,19843,21252,1410,reverse
atp8 | atpB gene,Consensus,106943,108352,1410,forward
atp8-fragment | atpB-fragment gene,Bin_PIBR_42_47-contigsc0248,98198,99601,1404,forward
atpA gene,Bin_MEDD_45_2_3-contigsc0202,60274,61779,1506,forward
atpA gene,Bin_MEDD_45_2_3-contigsc0202,112176,113681,1506,reverse
atpA gene,Contig 1,14641,16179,1539,forward
atpA gene,Bin_TRCH_30_6-contigsc0055,3004,4515,1512,reverse
atpA gene,Bin_CEPX_5_1_13-contigsc0034,138894,140399,1506,forward
atpA gene,Bin_FERT_9_17-contigsc0016,74119,75639,1521,forward
atpA gene,Bin_ZLUT_103_5_31-contigsc0251,91948,93462,1515,forward
atpA gene,Bin_SZYM_18_24-contigsc0004,84838,86352,1515,forward
atpA gene,Bin_ROSX_18_26-contigsc0170,82291,83805,1515,forward
atpA gene,Bin_BRTL_49_5_6-contigsc0002,35263,36780,1518,reverse
atpA gene,Bin_BRTL_49_5_6-contigsc0002,74552,76066,1515,reverse
atpA gene,Bin_VSVK_22_29-contigsc0011,93748,95262,1515,forward
atpA gene,Consensus,52561,54081,1521,reverse
atpA gene,Bin_MILA_54_4_1-contigsc0036,29474,30994,1521,forward
atpA gene,Bin_STEC_11_19-contigsc0288,4276,5553,1278,forward
atpA gene,Bin_BALM_20_28-contigsc0274,13149,14669,1521,forward
atpA gene,Contig 1,21769,23289,1521,forward
atpA gene,Bin_GOSK_44_8-contigsc0001,90935,92455,1521,forward
atpA gene,Bin_GOSK_24_30-contigsc0042,10829,12349,1521,reverse
atpA gene,Contig 2,7296,8204,909,reverse
atpA gene,Bin_KAST_5_13-contigsc0042,4562,5950,1389,reverse
atpA gene,Consensus,73528,75048,1521,forward
atpA gene,Contig 9,70422,71929,1508,reverse
atpA gene,Bin_MEDD_126_5_14-contigsc0015,9905,11412,1508,reverse
atpA gene,Bin_MAJC_58_4_11-contigsc0123,17096,18603,1508,reverse
atpA gene,Bin_MAJC_6_1_6-contigsc0047,10223,11497,1275,forward
atpA gene,Bin_LUGA_27_5_1-contigsc0187,1964,3253,1290,forward
atpA gene,Consensus,105614,107122,1509,forward
atpA gene,GroupDREPX614_Annotated_Unfinished,78402,79910,1509,forward
atpA gene,Bin_FUNE_7_15-contigsc0058,83432,84943,1512,forward
atpA gene,Bin_SZYM_42_46-contigsc0015,23343,24854,1512,reverse
atpA gene,Contig 1,84100,85611,1512,forward
atpA gene,Contig 2,23297,24808,1512,reverse
atpA gene,Bin_SZYM_45_49-contigsc0013,21389,22900,1512,reverse
atpA gene,Bin_ARCA_1_1-contigsc1413,1763,3109,1347,forward
atpA gene,Contig 1,22042,23553,1512,reverse
atpA gene,GroupDREPX642_Annotated_unfinished,77837,79348,1512,forward
atpA gene,Contig 1,22726,24237,1512,reverse
atpA gene,Contig 3,22589,24100,1512,reverse
atpA gene,GroupDREPX658_Annotated_unfinished,77843,79354,1512,forward
atpA gene,Consensus,84325,85836,1512,forward
atpA gene,Bin_RIMV_9_2_8-contigsc0022,79116,80627,1512,forward
atpA gene,Consensus,151693,153203,1511,reverse
atpA gene,Consensus,22220,23730,1511,reverse
atpA gene,Bin_ZLUT_29_1_36-contigsc0127,77803,79314,1512,forward
atpA gene,GroupDREPX710_Annotated_Unfinished,22065,23576,1512,reverse
atpA gene,Bin_ZLUT_154_6_18-contigsc0021,22626,24137,1512,reverse
atpA gene,Bin_NVAL_2_10-contigsc0472,408,1745,1338,forward
atpA gene,GroupDREPX938_Annotated_Unfinished,55974,57470,1497,reverse
atpA gene,GroupDREPX942_Annotated_Unfinished,73072,74610,1539,forward
atpA gene,GroupDREPX942_Annotated_Unfinished,222245,223744,1500,forward
atpA gene,Consensus,36541,38043,1503,forward
atpA gene,Bin_TOTR_46_51-contigsc0122,10844,12355,1512,reverse
atpA gene,Consensus,58824,60329,1506,reverse
atpA gene,Bin_PIBR_65_68-contigsc1164,7646,9157,1512,reverse
atpA gene,Bin_CERT_28_34-contigsc0002,98109,99602,1494,reverse
atpA gene,Consensus,36564,38057,1494,forward
atpA gene,Consensus,169705,171198,1494,reverse
atpA gene,Consensus,90948,92426,1479,reverse
atpA gene,Bin_ZURI_16_25-contigsc0018,72108,73607,1500,reverse
atpA gene,Bin_PIBR_42_47-contigsc0248,82163,83662,1500,reverse
atpA gene,Bin_FUNE_56_6-contigsc0004,40875,42374,1500,forward
atpA gene,Contig 2,37536,39041,1506,forward
atpA gene,Contig 2,129874,131379,1506,forward
atpA gene,UnusedGroupDREPX106_Annotated_Unfinished,91345,92850,1506,forward
atpA gene,Bin_EDVL_34_4-contigsc0983,79234,80745,1512,forward
atpA gene,UnusedGroupDREPX475_Annotated_Unfinished,70317,71828,1512,reverse
atpA gene,Bin_SANA_18_8-contigsc0006,28718,30220,1503,reverse
atpA gene,UnusedGroupDREPX493_Annotated_Unfinished,42591,44063,1473,reverse
atpA gene,Bin_BALM_14_22-contigsc0006,18937,20457,1521,reverse
atpA gene,Bin_NVAL_39_45-contigsc0612,104721,106190,1470,forward
atpA gene,Bin_LAND_16_3_1-contigsc0006,80499,82022,1524,forward
atpA-fragment gene,Bin_PRSC_117_75-contigsc0020,127519,128787,1269,forward
atpA-fragment gene,GroupDREPX942_Annotated_Unfinished,2609,4018,1410,reverse
atpA-fragment gene,Consensus,226683,230389,3707,reverse
atpB gene,Bin_ZLUT_85_5_14-contigsc0836,20775,22190,1416,reverse
atpB gene,Bin_MEDD_45_2_3-contigsc0202,128944,130359,1416,forward
atpB gene,Bin_MEDD_45_2_3-contigsc0202,43596,45011,1416,reverse
atpB gene,Contig 1,95928,97409,1482,forward
atpB gene,Consensus,47755,48138,384,reverse
atpB gene,Bin_BRTL_70_6_25-contigsc1444,1240,2685,1446,forward
atpB gene,Bin_CEPX_5_1_13-contigsc0034,116819,118252,1434,forward
atpB gene,Bin_BRTL_49_5_6-contigsc0002,20343,21764,1422,reverse
atpB gene,Bin_VSVK_22_29-contigsc0011,16109,17551,1443,reverse
atpB gene,Bin_GOSK_44_8-contigsc0001,6295,7732,1438,reverse
atpB gene,Bin_FUNE_65_68-contigsc0005,17064,17770,707,reverse
atpB gene,Contig 1,16777,17483,707,reverse
atpB gene,Consensus,76,1553,1478,reverse
atpB gene,Contig 9,90625,92043,1419,forward
atpB gene,Bin_STIU_11_19-contigsc0076,7747,7800,54,forward
atpB gene,Bin_MAJC_58_4_11-contigsc0123,37299,38717,1419,forward
atpB gene,Bin_HALL_66_7-contigsc0263,995,2408,1414,reverse
atpB gene,Contig 10,44732,46150,1419,forward
atpB gene,Consensus,85516,86934,1419,reverse
atpB gene,GroupDREPX614_Annotated_Unfinished,58250,59668,1419,reverse
atpB gene,Bin_FUNE_7_15-contigsc0058,62158,63585,1428,reverse
atpB gene,Bin_SZYM_42_46-contigsc0015,44713,46140,1428,forward
atpB gene,Contig 1,62751,64178,1428,reverse
atpB gene,Contig 2,44723,46150,1428,forward
atpB gene,Bin_SZYM_45_49-contigsc0013,42849,44276,1428,forward
atpB gene,Contig 1,41886,43313,1428,forward
atpB gene,Contig 4,60597,62023,1427,reverse
atpB gene,GroupDREPX642_Annotated_unfinished,57952,59379,1428,reverse
atpB gene,Contig 1,42695,44122,1428,forward
atpB gene,Contig 3,42558,43985,1428,forward
atpB gene,GroupDREPX658_Annotated_unfinished,57884,59311,1428,reverse
atpB gene,Consensus,64453,65880,1428,reverse
atpB gene,Bin_RIMV_9_2_8-contigsc0022,59034,60461,1428,reverse
atpB gene,Consensus,42514,43941,1428,forward
atpB gene,Consensus,171987,173414,1428,forward
atpB gene,Bin_ZLUT_44_2_1-contigsc0027,42419,43846,1428,forward
atpB gene,Bin_ZLUT_29_1_36-contigsc0127,57836,59263,1428,reverse
atpB gene,GroupDREPX710_Annotated_Unfinished,42116,43543,1428,forward
atpB gene,Bin_ZLUT_154_6_18-contigsc0021,43718,45145,1428,forward
atpB gene,GroupDREPX771_Annotated_Unfinished,82826,84247,1422,reverse
atpB gene,GroupDREPX938_Annotated_Unfinished,72571,73966,1396,forward
atpB gene,GroupDREPX942_Annotated_Unfinished,23488,24969,1482,reverse
atpB gene,Consensus,19776,21188,1413,reverse
atpB gene,Consensus,74785,76230,1446,forward
atpB gene,Bin_PIBR_65_68-contigsc2109,10810,12219,1410,forward
atpB gene,Bin_CERT_28_34-contigsc0002,8804,10252,1449,forward
atpB gene,Bin_CERT_28_34-contigsc0002,114093,115508,1416,forward
atpB gene,Consensus,20658,22073,1416,reverse
atpB gene,Consensus,185689,187104,1416,forward
atpB gene,Bin_PIBR_42_47-contigsc0248,37951,39367,1417,reverse
atpB gene,Bin_FUNE_56_6-contigsc0004,24846,26258,1413,reverse
atpB gene,Contig 2,14937,16357,1421,forward
atpB gene,Contig 2,107308,108728,1421,forward
atpB gene,Bin_MEDD_134_5_3-contigsc0007,111082,112502,1421,reverse
atpB gene,Bin_ZLUT_170_6_34-contigsc0168,10589,11999,1411,forward
atpB gene,UnusedGroupDREPX106_Annotated_Unfinished,75868,77292,1425,reverse
atpB gene,Bin_EDVL_34_4-contigsc0983,59407,60834,1428,reverse
atpB gene,Bin_SANA_18_8-contigsc0006,48563,49990,1428,forward
atpB gene,UnusedGroupDREPX493_Annotated_Unfinished,61031,62443,1413,forward
atpB gene,Bin_ORTA_59_63-contigsc0067,9718,11134,1417,reverse
atpB gene,Bin_NVAL_39_45-contigsc0612,98541,99981,1441,forward
atpB gene,Bin_LAND_16_3_1-contigsc0006,74544,75992,1449,forward
atpB | atpD gene,Bin_VELN_32_5-contigsc0316,2053,3498,1446,reverse
atpB | atpD gene,Bin_FERT_9_17-contigsc0016,2412,3857,1446,reverse
atpB | atpD gene,Consensus,49732,51177,1446,reverse
atpB | atpD gene,Bin_MILA_54_4_1-contigsc0036,32638,34083,1446,forward
atpB | atpD gene,Bin_BALM_14_22-contigsc0006,6038,7483,1446,reverse
atpB | atpI gene,Bin_BALM_20_28-contigsc0274,10841,11584,744,forward
atpB | atpI gene,Contig 1,19461,20204,744,forward
atpB | atpI gene,Bin_GOSK_44_8-contigsc0001,88065,88808,744,forward
atpB | atpI gene,Bin_GOSK_24_30-contigsc0042,14513,15256,744,reverse
atpB-fragment gene,Consensus,38153,39577,1425,forward
atpC gene,Consensus,79644,80036,393,forward
atpC gene,Bin_FERT_9_17-contigsc0016,1761,2156,396,reverse
atpC gene,Bin_ZLUT_103_5_31-contigsc0251,9204,9599,396,reverse
atpC gene,Bin_TSKO_28_34-contigsc0093,101650,102045,396,forward
atpC gene,Bin_SZYM_18_24-contigsc0004,4841,5236,396,reverse
atpC gene,Bin_ROSX_44_5-contigsc1866,2340,2735,396,reverse
atpC gene,Bin_ROSX_18_26-contigsc0170,2293,2688,396,reverse
atpC gene,Bin_BRTL_49_5_6-contigsc0002,155666,156061,396,forward
atpC gene,Bin_VSVK_22_29-contigsc0011,15498,15893,396,reverse
atpC gene,Consensus,49026,49429,404,reverse
atpC gene,Bin_MILA_54_4_1-contigsc0036,34471,34875,405,forward
atpC gene,Bin_BALM_20_28-contigsc0274,18085,18480,396,forward
atpC gene,Contig 1,26705,27100,396,forward
atpC gene,Bin_GOSK_44_8-contigsc0001,5475,5879,405,reverse
atpC gene,Consensus,39931,40323,393,forward
atpC gene,Bin_BALM_14_22-contigsc0006,5561,5956,396,reverse
atpC gene,Bin_NVAL_39_45-contigsc0612,100813,100890,78,forward
atpC-fragment gene,Consensus,139381,139770,390,reverse
atpD gene,Bin_MEDD_45_2_3-contigsc0202,59650,60204,555,forward
atpD gene,Bin_MEDD_45_2_3-contigsc0202,113751,114305,555,reverse
atpD gene,Bin_BRTL_49_5_6-contigsc0002,36828,37391,564,reverse
atpD gene,Bin_BALM_20_28-contigsc0274,16093,17538,1446,forward
atpD gene,Contig 1,24722,26167,1446,forward
atpD gene,Bin_FUNE_65_68-contigsc0005,17448,18089,642,reverse
atpD gene,Contig 1,17161,17802,642,reverse
atpD gene,Contig 9,71986,72537,552,reverse
atpD gene,Bin_MEDD_126_5_14-contigsc0015,11469,12020,552,reverse
atpD gene,Bin_MAJC_58_4_11-contigsc0123,18660,19211,552,reverse
atpD gene,Consensus,105006,105557,552,forward
atpD gene,GroupDREPX614_Annotated_Unfinished,77794,78345,552,forward
atpD gene,Bin_FUNE_7_15-contigsc0058,82811,83353,543,forward
atpD gene,Bin_SZYM_42_46-contigsc0015,24933,25475,543,reverse
atpD gene,Contig 1,83477,84027,551,forward
atpD gene,Bin_SZYM_45_49-contigsc0013,22973,23523,551,reverse
atpD gene,GroupDREPX642_Annotated_unfinished,77229,77778,550,forward
atpD gene,Contig 1,24296,24845,550,reverse
atpD gene,Contig 3,24159,24708,550,reverse
atpD gene,GroupDREPX658_Annotated_unfinished,77228,77779,552,forward
atpD gene,Consensus,83715,84266,552,forward
atpD gene,Bin_RIMV_9_2_8-contigsc0022,78518,79069,552,forward
atpD gene,Consensus,153262,153813,552,reverse
atpD gene,Consensus,23789,24340,552,reverse
atpD gene,Bin_ZLUT_44_2_1-contigsc0027,23947,24496,550,reverse
atpD gene,Bin_ZLUT_29_1_36-contigsc0127,77186,77737,552,forward
atpD gene,GroupDREPX710_Annotated_Unfinished,23642,24193,552,reverse
atpD gene,Bin_ZLUT_154_6_18-contigsc0021,24203,24754,552,reverse
atpD gene,GroupDREPX771_Annotated_Unfinished,99296,99859,564,reverse
atpD gene,GroupDREPX938_Annotated_Unfinished,57575,57982,408,reverse
atpD gene,Consensus,35811,36428,618,forward
atpD gene,Bin_TOTR_46_51-contigsc0122,12439,13062,624,reverse
atpD gene,Consensus,60415,61017,603,reverse
atpD gene,Bin_PIBR_65_68-contigsc1164,9253,9561,309,reverse
atpD gene,Consensus,35876,36478,603,forward
atpD gene,Consensus,171284,171886,603,reverse
atpD gene,Consensus,92493,92909,417,reverse
atpD gene,Bin_ZURI_16_25-contigsc0018,73678,74091,414,reverse
atpD gene,Bin_PIBR_42_47-contigsc0248,83733,84146,414,reverse
atpD gene,Contig 2,36925,37482,558,forward
atpD gene,Contig 2,129263,129820,558,forward
atpD gene,Bin_ZLUT_170_6_34-contigsc0168,32275,32832,558,forward
atpD gene,UnusedGroupDREPX106_Annotated_Unfinished,90730,91275,546,forward
atpD gene,Bin_EDVL_34_4-contigsc0983,78616,79158,543,forward
atpD gene,UnusedGroupDREPX475_Annotated_Unfinished,71945,72634,690,reverse
atpD | atpB gene,Bin_ZLUT_103_5_31-contigsc0251,10010,11455,1446,reverse
atpD | atpB gene,Bin_TSKO_28_34-contigsc0093,99794,101239,1446,forward
atpD | atpB gene,Bin_SZYM_18_24-contigsc0004,5647,7092,1446,reverse
atpD | atpB gene,Bin_ROSX_44_5-contigsc1866,3146,4591,1446,reverse
atpD | atpB gene,Bin_ROSX_18_26-contigsc0170,3099,4544,1446,reverse
atpD | atpB gene,Bin_BRTL_49_5_6-contigsc0002,153810,155255,1446,forward
atpD-fragment gene,Consensus,139883,141293,1411,reverse
atpE gene,Bin_ZLUT_85_5_14-contigsc0836,13679,14176,498,reverse
atpE gene,Bin_MEDD_45_2_3-contigsc0202,36500,36997,498,reverse
atpE gene,Bin_MEDD_45_2_3-contigsc0202,136958,137455,498,forward
atpE gene,Contig 1,97413,97829,417,forward
atpE gene,Bin_VELN_32_5-contigsc0316,1393,1797,405,reverse
atpE gene,Bin_BRTL_49_5_6-contigsc0002,19920,20330,411,reverse
atpE gene,Consensus,72447,72695,249,forward
atpE gene,Contig 9,92062,92454,393,forward
atpE gene,Bin_MEDD_126_5_14-contigsc0015,31546,31938,393,forward
atpE gene,Bin_MAJC_58_4_11-contigsc0123,38736,39128,393,forward
atpE gene,Bin_HALL_66_7-contigsc4184,2935,3342,408,reverse
atpE gene,Contig 10,46169,46561,393,forward
atpE gene,Consensus,85105,85497,393,reverse
atpE gene,GroupDREPX614_Annotated_Unfinished,57839,58231,393,reverse
atpE gene,Bin_FUNE_7_15-contigsc0058,61755,62150,396,reverse
atpE gene,Bin_SZYM_42_46-contigsc0015,46148,46543,396,forward
atpE gene,Contig 1,62348,62743,396,reverse
atpE gene,Contig 2,46158,46553,396,forward
atpE gene,Bin_SZYM_45_49-contigsc0013,44284,44679,396,forward
atpE gene,Contig 1,43321,43707,387,forward
atpE gene,Contig 4,60202,60588,387,reverse
